idx,name,version,category,assignedTo,paperName,year,authors,institution,citations_APA,relatedPapers_1,relatedPapers_2,explanation,highlights-1,highlights-2,highlights-3,limitations-1,limitations-2,limitations-3,citationsNumber,metric,yAxisLabel,labels,data,format,model_image,
32,MobileNetV3,v3.5.3,cnn,민혁,Searching for MobileNetV3,2019,"Andrew Howard, Mark Sandler, Grace Chu, Liang-Chieh Chen, Bo Chen, Mingxing Tan, Weijun Wang, Yukun Zhu, Ruoming Pang, Vijay Vasudevan, Quoc V. Le, and Hartwig Adam","Google AI, Google Brain","Howard, A., Sandler, M., Chu, G., Chen, L. C., Chen, B., Tan, M., ... & Adam, H. (2019). Searching for mobilenetv3. In Proceedings of the IEEE/CVF international conference on computer vision (pp. 1314-1324).","Wang, Q., Wu, B., Zhu, P., Li, P., Zuo, W., & Hu, Q. (2020). ECA-Net: Efficient channel attention for deep convolutional neural networks. In Proceedings of the IEEE/CVF conference on computer vision and pattern recognition (pp. 11534-11542).","Tan, M., Chen, B., Pang, R., Vasudevan, V., Sandler, M., Howard, A., & Le, Q. V. (2019). Mnasnet: Platform-aware neural architecture search for mobile. In Proceedings of the IEEE/CVF conference on computer vision and pattern recognition (pp. 2820-2828).","MobileNetV3 combines Neural Architecture Search and NetAdapt with advanced design elements like squeeze-and-excite blocks and hard-swish activation. It achieves state-of-the-art efficiency for mobile devices across classification, detection, and segmentation tasks.",Combines NAS and NetAdapt for optimal efficiency.,Introduces hard-swish for better quantization compatibility.,Offers large and small models tailored for resource levels.,Tailored for mobile; less suited for high-end tasks.,Requires extensive hardware-specific tuning.,Relatively complex compared to previous MobileNet versions.,9045,Top-1,Accuracy (%),"['V3-Large 1.0', 'V3-Large 0.75', 'MnasNet-A1', 'ProxylessNAS', 'V2 1.0', 'V3-Small 1.0', 'V3-Small 0.75', 'Mnas-small', 'V2 0.35']","[75.2, 73.3, 75.2, 74.6, 72.0, 67.4, 65.4, 64.9, 60.8]​",%,32.png,
33,SAM (Segment Anything Model),v3.6.1,transformer,민혁,Segment Anything,2023,"Alexander Kirillov, Eric Mintun, Nikhila Ravi, Hanzi Mao, Chloe Rolland, Laura Gustafon, Tete Xiao, and Piotr Dollar","Meta AI Research, FAIR","Kirillov, A., Mintun, E., Ravi, N., Mao, H., Rolland, C., Gustafson, L., ... & Girshick, R. (2023). Segment anything. In Proceedings of the IEEE/CVF International Conference on Computer Vision (pp. 4015-4026).","Ding, J., Xue, N., Xia, G. S., & Dai, D. (2022). Decoupling zero-shot semantic segmentation. In Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (pp. 11583-11592).","Zhou, Z., Lei, Y., Zhang, B., Liu, L., & Liu, Y. (2023). Zegclip: Towards adapting clip for zero-shot semantic segmentation. In Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (pp. 11175-11185).","SAM is a promptable segmentation model that predicts valid masks from diverse prompts (points, boxes, text) with zero-shot generalisation. It leverages a massive dataset of 1.1 billion masks and introduces a scalable model architecture for flexible, real-time applications.",Generalises segmentation with zero-shot capability.,Uses a large-scale SA-1B dataset with 1.1 billion masks.,Provides real-time interactive segmentation across prompts.,Struggles with fine boundaries and small structures.,Heavily reliant on training dataset quality.,Not optimised for semantic and panoptic segmentation tasks.,6661,mean,IoU(%),"['SAM', 'RITM', 'SimpleClick', 'FocalClick']","[50, 40, 35, 33]",%,33.png,
34,SEEM,v3.6.2,transformer,민혁,Segment Everything Everywhere All at Once,2023,"Xueyan Zou, Jianwei Yang, Hao Zhang, Feng Li, Linjie Li, Jianfeng Wang, Lijuan Wang, Jianfeng Gao, and Yong Jae Lee","University of Wisconsin-Madison, Microsoft Research, Redmond, HKUST, Microsoft Cloud & AI","Zou, X., Yang, J., Zhang, H., Li, F., Li, L., Wang, J., ... & Lee, Y. J. (2024). Segment everything everywhere all at once. Advances in Neural Information Processing Systems, 36.","Lüddecke, T., & Ecker, A. (2022). Image segmentation using text and image prompts. In Proceedings of the IEEE/CVF conference on computer vision and pattern recognition (pp. 7086-7096).","Liang, F., Wu, B., Dai, X., Li, K., Zhao, Y., Zhang, H., ... & Marculescu, D. (2023). Open-vocabulary semantic segmentation with mask-adapted clip. In Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (pp. 7061-7070).","SEEM unifies various segmentation tasks using a promptable architecture. It integrates text, visual, and interactive prompts into a joint visual-semantic space, enabling versatile, compositional, and semantic-aware segmentation across generic, referring, and interactive tasks.","Supports multiple input prompts (text, scribbles, regions).",Generalises well to unseen tasks and domains.,Achieves competitive performance across 9 segmentation benchmarks.,"Requires large, diverse training data for generalisation.",Higher complexity compared to specialised segmentation models.,Limited for extremely fine-grained boundary segmentation.,422,mean,IoU(%),"['SEEM (T)', 'SEEM (B)', 'SEEM (L)', 'SAM (B)', 'SAM (L)', 'SimpleClick (H)']","[63.4, 68.2, 72.8, 57.1, 60.7, 71.5]",%,34.png,
35,RNN (Recurrent Neural Network),v4.0.1,rnn,민혁,Learning representations by back-propagating errors,1986,"David E. Rumelhart, Geoffrey E. Hinton, and Ronald J. Williams","Institute for Cognitive Science, C-015, University of California,  Department of Computer Science, Carnegie-Mellon University","Rumelhart, D. E., Hinton, G. E., & Williams, R. J. (1986). Learning representations by back-propagating errors. nature, 323(6088), 533-536.","Moody, J., & Darken, C. J. (1989). Fast learning in networks of locally-tuned processing units. Neural computation, 1(2), 281-294.","Hinton, G. E., Dayan, P., Frey, B. J., & Neal, R. M. (1995). The"" wake-sleep"" algorithm for unsupervised neural networks. Science, 268(5214), 1158-1161.","RNNs process sequential data using feedback loops in hidden layers, enabling dynamic temporal behaviour. The model propagates errors backward through time for effective weight updates, creating internal memory for past information.",Processes sequential data with feedback connections.,Learns temporal dependencies through backpropagation.,Captures dynamic patterns in time-series and language.,Suffers from vanishing/exploding gradients.,Struggles with long-term dependencies.,Computationally expensive for long sequences.,40394,,,,,,35.png,
36,Long Short-Term Memory (LSTM),v4.0.2,rnn,민혁,Long Short-Term Memory,1997,Sepp Hochreiter and Jürgen Schmidhuber,Technische Universitat Munchen,"Hochreiter, S. (1997). Long Short-term Memory. Neural Computation MIT-Press.","Beran, J., Feng, Y., Ghosh, S., & Kulik, R. (2013). Long-memory processes. Long-Mem. Process.","Schmidhuber, J. (1992). Learning to control fast-weight memories: An alternative to dynamic recurrent networks. Neural Computation, 4(1), 131-139.","LSTM overcomes the vanishing gradient problem in RNNs with memory cells and gating mechanisms that enable learning long-term dependencies. It ensures constant error flow through time, enabling efficient learning in sequences with long time lags.",Solves vanishing/exploding gradient problems.,Enables learning with long-term dependencies in sequences.,Uses memory cells with input/output gates for control.,Computationally intensive compared to basic RNNs.,Inefficient for tasks requiring precise step counting.,Requires careful parameter tuning for optimal performance.,115630,Percentage of successful trials,Successful Trials(%),"['RTRL', 'BPTT', 'CH', 'LSTM']","[0, 0, 33, 100]",%,36.png,
37,Transformer Architecture,v4.1,transformer,민혁,Attention Is All You Need,2017,"Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N. Gomez, Lukasz Kaiser, and Illia Polosukhin","Google Brain, Google Research, University of Toronto","Vaswani, A. (2017). Attention is all you need. Advances in Neural Information Processing Systems.","Posner, M. I., & Dehaene, S. (1994). Attentional networks. Trends in neurosciences, 17(2), 75-79.","Raz, A., & Buhle, J. (2006). Typologies of attentional networks. Nature reviews neuroscience, 7(5), 367-379.","The Transformer is a sequence-to-sequence model that uses only self-attention mechanisms to handle input and output dependencies. It eliminates the need for recurrence or convolution, allowing parallelisation and better handling of long-range dependencies, achieving state-of-the-art performance in translation tasks.",Eliminates recurrence for full parallelisation.,Uses multi-head attention for global dependencies.,Sets new benchmarks for machine translation tasks.,Computationally expensive for long sequences.,High memory requirements for attention mechanisms.,Requires large-scale data for effective training.,141723,BLEU,Score(points),"['ByteNet', 'Deep-Att + PosUnk', 'GNMT + RL', 'ConvS2S', 'MoE', 'Transformer (base model)', 'Transformer (big)']","[23.75, 39.2, 24.6, 25.16, 26.03, 27.3, 28.4]",points,37.png,
38,T5,v4.1.1.1,transformer,민혁,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,2020,"Colin Raffel, Noam Shazeer, Adam Roberts, Katherine Lee, Sharan Narang, Michael Matena, Yanqi Zhou, Wei Li, and Peter J. Liu.",Google Research,"Raffel, C., Shazeer, N., Roberts, A., Lee, K., Narang, S., Matena, M., ... & Liu, P. J. (2020). Exploring the limits of transfer learning with a unified text-to-text transformer. Journal of machine learning research, 21(140), 1-67.","He, J., Zhou, C., Ma, X., Berg-Kirkpatrick, T., & Neubig, G. (2021). Towards a unified view of parameter-efficient transfer learning. arXiv preprint arXiv:2110.04366.","Ruder, S., Peters, M. E., Swayamdipta, S., & Wolf, T. (2019, June). Transfer learning in natural language processing. In Proceedings of the 2019 conference of the North American chapter of the association for computational linguistics: Tutorials (pp. 15-18).","T5 unifies NLP tasks by treating them all as text-to-text problems, enabling a single model to handle diverse tasks using the same architecture and objective. It achieves state-of-the-art performance on numerous benchmarks by scaling pre-training, leveraging a denoising objective, and employing the Colossal Clean Crawled Corpus (C4).",Unifies NLP tasks under a text-to-text framework.,Scales to 11 billion parameters for unprecedented results.,Uses C4 dataset for effective pre-training.,Requires significant computational resources for training.,Performance heavily depends on data quality.,Limited by text-only pre-training in some multilingual tasks.,19380,Average,Accuracy(%),"['BERT-Large', 'RoBERTa-Large', 'XLNet-Large', 'ALBERT-XXL', 'T5-Small', 'T5-Base', 'T5-Large', 'T5-3B', 'T5-11B']","[86.2, 88.5, 89.0, 89.4, 77.4, 82.7, 86.4, 88.5, 90.3]​",%,38.png,
39,BART,v4.1.1.2,transformer,민혁,"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension",2019,"Mike Lewis, Yinhan Liu, Naman Goyal, Marjan Ghazvininejad, Abdelrahman Mohamed, Omer Levy, Veselin Stoyanov, and Luke Zettlemoyer",Facebook AI,"Lewis, M. (2019). Bart: Denoising sequence-to-sequence pre-training for natural language generation, translation, and comprehension. arXiv preprint arXiv:1910.13461.","Rothe, S., Narayan, S., & Severyn, A. (2020). Leveraging pre-trained checkpoints for sequence generation tasks. Transactions of the Association for Computational Linguistics, 8, 264-280.","Provilkov, I., Emelianenko, D., & Voita, E. (2019). BPE-dropout: Simple and effective subword regularization. arXiv preprint arXiv:1910.13267.","BART is a denoising sequence-to-sequence pre-training model combining a bidirectional encoder and an autoregressive decoder. It generalises masked language modelling by reconstructing corrupted text, excelling in text generation, summarisation, and translation tasks with flexible noise transformations.",Combines bidirectional encoding with autoregressive decoding.,Excels in abstractive summarisation and text generation tasks.,Supports versatile noise transformations for robust training.,High computational cost for large models.,Dependent on large-scale datasets for performance.,Struggles with long-term coherence in generative tasks.,11236,ROUGE,Points,"['PTGEN', 'PTGEN+COV', 'UniLM', 'BERTSUMABS', 'BERTSUMEXTABS', 'ROBERTASHARE', 'BART']","[33.42, 36.38, 40.51, 38.76, 39.18, 37.62, 40.90]",points,39.png,
40,Megatron-LM,v4.1.1.3,transformer,민혁,Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism,2019,"Mohammad Shoeybi, Mostofa Patwary, Raul Puri, Patrick LeGresley, Jared Casper, and Bryan Catanzaro",,"Shoeybi, M., Patwary, M., Puri, R., LeGresley, P., Casper, J., & Catanzaro, B. (2019). Megatron-lm: Training multi-billion parameter language models using model parallelism. arXiv preprint arXiv:1909.08053.","Hoffmann, J., Borgeaud, S., Mensch, A., Buchatskaya, E., Cai, T., Rutherford, E., ... & Sifre, L. (2022). Training compute-optimal large language models. arXiv preprint arXiv:2203.15556.","Smith, S., Patwary, M., Norick, B., LeGresley, P., Rajbhandari, S., Casper, J., ... & Catanzaro, B. (2022). Using deepspeed and megatron to train megatron-turing nlg 530b, a large-scale generative language model. arXiv preprint arXiv:2201.11990.","Megatron-LM is a scalable transformer-based language model using efficient intra-layer model parallelism to train models with billions of parameters. It leverages distributed tensor computation and optimised GPU memory management for tasks like language modelling, achieving state-of-the-art results in multiple benchmarks.",Enables training up to 8.3B parameter models.,Achieves state-of-the-art results on WikiText103 and LAMBADA.,Scales efficiently across 512 GPUs.,"Requires extensive computational resources (e.g., 512 GPUs).",Performance heavily depends on advanced infrastructure.,Not feasible for smaller-scale training setups.,1766,Perplexity,Perplexity,"['Megatron-LM 355M', 'Megatron-LM 2.5B', 'Megatron-LM 8.3B', 'Previous SOTA']","[19.31, 12.76, 10.81, 15.79]",Perplexity,40.png,
41,BERT,v4.1.2.1,transformer,민혁,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,2018,"Jacob Devlin, Ming-Wei Chang, Kenton Lee, and Kristina Toutanova",Google AI Language,"Devlin, J. (2018). Bert: Pre-training of deep bidirectional transformers for language understanding. arXiv preprint arXiv:1810.04805.","Jiao, X., Yin, Y., Shang, L., Jiang, X., Chen, X., Li, L., ... & Liu, Q. (2019). Tinybert: Distilling bert for natural language understanding. arXiv preprint arXiv:1909.10351.","Ainslie, J., Ontanon, S., Alberti, C., Cvicek, V., Fisher, Z., Pham, P., ... & Yang, L. (2020). ETC: Encoding long and structured inputs in transformers. arXiv preprint arXiv:2004.08483.",BERT (Bidirectional Encoder Representations from Transformers) pre-trains deep bidirectional representations by masking tokens and predicting them using context. It enables state-of-the-art performance across various NLP tasks by fine-tuning a unified model on specific tasks with minimal modifications.,Bidirectional Transformer for context-aware learning.,Pre-trained on massive text data for generalisation.,Achieves state-of-the-art results across 11 NLP benchmarks.,Computationally expensive due to bidirectionality.,Requires large-scale datasets for pre-training.,Performance depends heavily on task-specific fine-tuning.,118772,Average,Accuracy(%),"['Pre-OpenAI SOTA', 'BiLSTM+ELMo+Attn', 'OpenAI GPT', 'BERTBASE', 'BERTLARGE']","[74.0, 71.0, 75.1, 79.6, 82.1]",%,41.png,
42,RoBERTa,v4.1.2.2,transformer,민혁,RoBERTa: A Robustly Optimized BERT Pretraining Approach,2019,"Yinhan Liu, Myle Ott, Naman Goyal, Jingfei Du, Mandar Joshi, Danqi Chen, Omer Levy, Mike Lewis, Luke Zettlemoyer, and Veselin Stoyanov","Paul G. Allen School of Computer Science & Engineering, University of Washington, Seattle, WA, Facebook AI","Liu, Y. (2019). Roberta: A robustly optimized bert pretraining approach. arXiv preprint arXiv:1907.11692, 364.","You, Y., Li, J., Reddi, S., Hseu, J., Kumar, S., Bhojanapalli, S., ... & Hsieh, C. J. (2019). Large batch optimization for deep learning: Training bert in 76 minutes. arXiv preprint arXiv:1904.00962.","Han, X., Zhang, Z., Ding, N., Gu, Y., Liu, X., Huo, Y., ... & Zhu, J. (2021). Pre-trained models: Past, present and future. AI Open, 2, 225-250.","RoBERTa improves upon BERT by optimising pretraining strategies, including longer training on more data, dynamic masking, and removing the Next Sentence Prediction objective. It achieves state-of-the-art performance on multiple benchmarks without architectural changes.",Removes Next Sentence Prediction for efficiency.,Pretrained with 160GB of data for robustness.,Introduces dynamic token masking during training.,Requires significant computational resources for training.,Performance depends heavily on dataset quality.,Not designed for low-resource environments.,16222,Average,Accuracy(%),"['BERTLARGE', 'XLNetLARGE', 'RoBERTa']","[86.6, 88.4, 88.5]",%,42.png,
43,DeBERTa,v4.1.2.3,transformer,민혁,DeBERTa: Decoding-enhanced BERT with Disentangled Attention,2020,"Pengcheng He, Xiaodong Liu, Jianfeng Gao, and Weizhu Chen","Microsoft Dynamics 365 AI, Microsoft Research","He, P., Liu, X., Gao, J., & Chen, W. (2020). Deberta: Decoding-enhanced bert with disentangled attention. arXiv preprint arXiv:2006.03654.","Song, K., Tan, X., Qin, T., Lu, J., & Liu, T. Y. (2020). Mpnet: Masked and permuted pre-training for language understanding. Advances in neural information processing systems, 33, 16857-16867.","Cui, Y., Che, W., Liu, T., Qin, B., Wang, S., & Hu, G. (2020). Revisiting pre-trained models for Chinese natural language processing. arXiv preprint arXiv:2004.13922.","DeBERTa introduces disentangled attention mechanisms to separate content and positional embeddings, improving understanding of word relationships. It also uses an enhanced mask decoder for better masked token predictions and virtual adversarial training to improve generalisation, achieving state-of-the-art performance in NLP tasks with efficient pre-training.",Disentangled attention separates content and positional embeddings.,Enhanced mask decoder improves token predictions.,Achieves superior results on GLUE and SuperGLUE benchmarks.,Computationally intensive pre-training process.,Requires large-scale high-quality datasets.,Dependency on extensive hyperparameter tuning for optimal performance.,2662,Average,Accuracy(%),"['BERTLARGE', 'RoBERTaLARGE', 'XLNetLARGE', 'ELECTRALARGE', 'DeBERTaLARGE']","[84.05, 88.82, 89.15, 89.46, 90.00]​",%,43.png,
44,GPT,v4.1.3.1,transformer,민혁,Improving Language Understanding by Generative Pre-training,2018,"Alec Radford, Karthik Narasimhan, Tim Salimans, and Ilya Sutskever",OpenAI,"Radford, A. (2018). Improving language understanding by generative pre-training.","Song, K., Tan, X., Qin, T., Lu, J., & Liu, T. Y. (2020). Mpnet: Masked and permuted pre-training for language understanding. Advances in neural information processing systems, 33, 16857-16867.","Sun, Y., Wang, S., Li, Y., Feng, S., Tian, H., Wu, H., & Wang, H. (2020, April). Ernie 2.0: A continual pre-training framework for language understanding. In Proceedings of the AAAI conference on artificial intelligence (Vol. 34, No. 05, pp. 8968-8975).",GPT is a unidirectional Transformer-based model pre-trained on unsupervised data with a generative objective and fine-tuned for specific tasks. It demonstrated the effectiveness of transfer learning by achieving state-of-the-art performance in multiple NLP tasks using task-specific input transformations.,Pre-trained generative language model.,Effective task-specific fine-tuning with minimal modifications.,State-of-the-art results on 9 out of 12 benchmarks.,Limited bidirectional context in pre-training.,Computationally expensive for large-scale fine-tuning.,Relies on large annotated datasets for fine-tuning.,11620,Average,Accuracy(%),"['ESIM+ELMo', 'OpenAI GPT', 'Fine-tuned Transformer LM']","[68.9, 72.8, 72.8]​",%,44.png,
45,GPT-2,v4.1.3.2,transformer,민혁,Language Models are Unsupervised Multitask Learners,2019,"Alec Radford, Jeffrey Wu, Rewon Child, David Luan, Dario Amodei, and Ilya Sutskever",OpenAI,"Radford, A., Wu, J., Child, R., Luan, D., Amodei, D., & Sutskever, I. (2019). Language models are unsupervised multitask learners. OpenAI blog, 1(8), 9.","Guu, K., Lee, K., Tung, Z., Pasupat, P., & Chang, M. (2020, November). Retrieval augmented language model pre-training. In International conference on machine learning (pp. 3929-3938). PMLR.","Schick, T., Dwivedi-Yu, J., Dessì, R., Raileanu, R., Lomeli, M., Hambro, E., ... & Scialom, T. (2024). Toolformer: Language models can teach themselves to use tools. Advances in Neural Information Processing Systems, 36.","GPT-2 is a generative Transformer model trained on WebText, demonstrating zero-shot learning capabilities for multiple NLP tasks. It uses a larger dataset and model size (1.5B parameters) than GPT, achieving state-of-the-art performance in language modelling and demonstrating coherent, contextually aware text generation.",Excels in zero-shot multitask learning.,Scales to 1.5B parameters for high performance.,Trained on diverse WebText data.,Struggles with tasks requiring domain-specific knowledge.,Computationally expensive to train and use.,Performance depends on dataset quality and size.,14283,LAMBADA,Accuracy(%),"['SOTA', 'GPT (117M)', 'GPT-2 (345M)', 'GPT-2 (762M)', 'GPT-2 (1542M)']","[59.23, 45.99, 55.48, 60.12, 63.24]",%,45.png,
46,GPT-3,v4.1.3.3,transformer,민혁,Language Models are Few-Shot Learners,2020,"Tom B. Brown, Benjamin Mann, Nick Ryder, Melanie Subbiah, Jared Kaplan, Prafulla Dhariwal, Arvind Neelakantan, Pranav Shyam, Girish Sastry, Amanda Askell, Sandhini Agarwal, Ariel Herbert-Voss, Gretchen Krueger, Tom Henighan, Rewon Child, Aditya Ramesh, Daniel M. Ziegler, Jeffrey Wu, and Dario Amodei",OpenAI,"Brown, T. B. (2020). Language models are few-shot learners. arXiv preprint arXiv:2005.14165.","Gao, T., Fisch, A., & Chen, D. (2020). Making pre-trained language models better few-shot learners. arXiv preprint arXiv:2012.15723.","Zhao, Z., Wallace, E., Feng, S., Klein, D., & Singh, S. (2021, July). Calibrate before use: Improving few-shot performance of language models. In International conference on machine learning (pp. 12697-12706). PMLR.","GPT-3 is a 175-billion parameter autoregressive language model that excels in zero-, one-, and few-shot learning tasks. It demonstrates strong performance across diverse NLP tasks by using in-context learning without task-specific fine-tuning, leveraging pre-trained knowledge efficiently.",Few-shot learning achieves near SOTA performance.,Trained on a 570GB curated dataset with Common Crawl.,Scales to 175 billion parameters for unmatched capabilities.,Requires substantial computational resources to train.,Lacks bidirectional context understanding.,Challenges with coherence in extended text generation.,35502,LAMBADA,Accuracy(%),"['GPT', 'GPT-2 (1.5B)', 'GPT-3 (2.7B)', 'GPT-3 (6.7B)', 'GPT-3 (13B)', 'GPT-3 (175B)']","[63.24, 68.7, 72.5, 76.2, 78.1, 86.4]",%,46.png,
47,GPT-4,v4.1.3.4,transformer,민혁,GPT-4 Technical Report,2023,OpenAI,OpenAI,"Achiam, J., Adler, S., Agarwal, S., Ahmad, L., Akkaya, I., Aleman, F. L., ... & McGrew, B. (2023). Gpt-4 technical report. arXiv preprint arXiv:2303.08774.","Sanderson, K. (2023). GPT-4 is here: what scientists think. Nature, 615(7954), 773.","Gimpel, H., Hall, K., Decker, S., Eymann, T., Lämmermann, L., Mädche, A., ... & Vandrik, S. (2023). Unlocking the power of generative AI models and systems such as GPT-4 and ChatGPT for higher education: A guide for students and lecturers (No. 02-2023). Hohenheim Discussion Papers in Business, Economics and Social Sciences.","GPT-4 is a large multimodal language model capable of processing both text and image inputs and generating text outputs. It achieves human-level performance on various benchmarks, leveraging pre-training and alignment through Reinforcement Learning from Human Feedback (RLHF).",Multimodal input capability (text and images).,Excels in human-like performance on academic and professional benchmarks.,Robust alignment using RLHF improves safety and factual accuracy.,Susceptible to hallucinations and reasoning errors.,Computationally expensive to train and deploy.,Limited context window for extended input sequences.,5553,MMLU,Accuracy(%),"['GPT-3.5', 'GPT-4', 'Chinchilla', 'PaLM']","[70.0, 86.4, 70.7, 75.2]",%,47.png,
48,PaLM,v4.1.3.5,transformer,민혁,PaLM: Scaling Language Modeling with Pathways,2022,"Aakanksha Chowdhery, Sharan Narang, Jacob Devlin, Maarten Bosma, Gaurav Mishra, Adam Roberts, Paul Barham, Hyung Won Chung, Charles Sutton, Sebastian Gehrmann, et al.",Google Research,"Chowdhery, A., Narang, S., Devlin, J., Bosma, M., Mishra, G., Roberts, A., ... & Fiedel, N. (2023). Palm: Scaling language modeling with pathways. Journal of Machine Learning Research, 24(240), 1-113.","Gao, T., Fisch, A., & Chen, D. (2020). Making pre-trained language models better few-shot learners. arXiv preprint arXiv:2012.15723.","Wang, S., Fang, H., Khabsa, M., Mao, H., & Ma, H. (2021). Entailment as few-shot learner. arXiv preprint arXiv:2104.14690.","PaLM is a 540-billion parameter dense Transformer language model trained on 780 billion tokens using the Pathways system. It demonstrates state-of-the-art performance in NLP, reasoning, and code generation, leveraging efficient scaling and novel techniques like multi-query attention and SwiGLU activations.",Achieves state-of-the-art results in reasoning and code generation tasks.,Efficiently scales across 6144 TPU v4 chips.,Introduces SwiGLU activations and parallel Transformer layers.,High computational requirements for training and deployment.,Challenges in multilingual tasks with limited data.,Prone to memorisation and data contamination issues.,5001,MMLU,Accuracy(%),"['PaLM 8B', 'PaLM 62B', 'PaLM 540B', 'Chinchilla']","[25.3, 53.7, 69.3, 67.5]",%,48.png,
49,PaLM 2,v4.1.3.6,transformer,민혁,PaLM 2 Technical Report,2023,Google,Google,"Anil, R., Dai, A. M., Firat, O., Johnson, M., Lepikhin, D., Passos, A., ... & Wu, Y. (2023). Palm 2 technical report. arXiv preprint arXiv:2305.10403.","Rae, J. W., Borgeaud, S., Cai, T., Millican, K., Hoffmann, J., Song, F., ... & Irving, G. (2021). Scaling language models: Methods, analysis & insights from training gopher. arXiv preprint arXiv:2112.11446.","Hsieh, C. Y., Li, C. L., Yeh, C. K., Nakhost, H., Fujii, Y., Ratner, A., ... & Pfister, T. (2023). Distilling step-by-step! outperforming larger language models with less training data and smaller model sizes. arXiv preprint arXiv:2305.02301.","PaLM 2 is a state-of-the-art Transformer-based language model, integrating improved multilingual data, enhanced architectural objectives, and optimal compute scaling. It surpasses its predecessor in language comprehension, reasoning, and multilingual tasks, while maintaining computational efficiency for faster and broader deployment.",Enhanced multilingual understanding across hundreds of languages.,Outperforms PaLM in reasoning and language proficiency tasks.,"Smaller model, more efficient, and lower inference cost.",Requires significant computational resources for training.,Multilingual performance varies for underrepresented languages.,Susceptible to hallucinations in generated outputs.,1391,Super GLUE,Average Score(%),"['Gopher 280B', 'Chinchilla 70B', 'U-PaLM-540B', 'Flan-U-PaLM-540B', 'PaLM 2-Large', 'Flan-PaLM 2-Large']","[60, 67.6, 71.5, 74.1, 78.3, 81.2]",%,49.png,
50,Claude,v4.1.3.7,transformer,민혁,Constitutional AI: Harmlessness from AI Feedback,2022,Anthropic,Anthropic,"Bai, Y., Kadavath, S., Kundu, S., Askell, A., Kernion, J., Jones, A., ... & Kaplan, J. (2022). Constitutional ai: Harmlessness from ai feedback. arXiv preprint arXiv:2212.08073.","Zhang, Y., Liao, Q. V., & Bellamy, R. K. (2020, January). Effect of confidence and explanation on accuracy and trust calibration in AI-assisted decision making. In Proceedings of the 2020 conference on fairness, accountability, and transparency (pp. 295-305).","Zhang, Y., Liao, Q. V., & Bellamy, R. K. (2020, January). Effect of confidence and explanation on accuracy and trust calibration in AI-assisted decision making. In Proceedings of the 2020 conference on fairness, accountability, and transparency (pp. 295-305).","Constitutional AI trains models to be helpful, honest, and harmless using AI-driven critiques and revisions guided by natural language principles. This method minimises reliance on human labels, ensuring ethical alignment and transparent decision-making through supervised learning and reinforcement learning with AI feedback.",Reduces reliance on human labels by using constitutional principles.,Incorporates chain-of-thought reasoning for improved decision-making.,Trains non-evasive models that explain objections to harmful requests.,Effectiveness depends heavily on quality and coverage of principles.,May struggle with nuanced or context-specific harms.,Risk of overgeneralisation in critique and revision processes.,1101,Elo score,Points,"['SL-CAI', 'RLHF-Helpful', 'RLHF-HH', 'RL-CAI']","[150, 100, 50, 200]",points,50.png,
51,LaMDA,v4.1.3.8,transformer,민혁,LaMDA: Language Models for Dialog Applications,2022,Google,Google,"Thoppilan, R., De Freitas, D., Hall, J., Shazeer, N., Kulshreshtha, A., Cheng, H. T., ... & Le, Q. (2022). Lamda: Language models for dialog applications. arXiv preprint arXiv:2201.08239.","Miller, A. H., Feng, W., Fisch, A., Lu, J., Batra, D., Bordes, A., ... & Weston, J. (2017). Parlai: A dialog research software platform. arXiv preprint arXiv:1705.06476.","Glaese, A., McAleese, N., Trębacz, M., Aslanides, J., Firoiu, V., Ewalds, T., ... & Irving, G. (2022). Improving alignment of dialogue agents via targeted human judgements. arXiv preprint arXiv:2209.14375.","LaMDA (Language Model for Dialogue Applications) is a Transformer-based neural language model optimized for dialogues. It uses fine-tuning and external knowledge sources to improve conversational quality, safety, and factual grounding, achieving human-like dialogue capabilities through sensibleness, specificity, and interestingness metrics.",Fine-tuned for dialogue safety and groundedness.,Scales to 137 billion parameters with high-quality multi-turn conversations.,Uses external tools like retrieval systems for factual accuracy.,"Relies on crowdworker annotations, limiting scalability.",Struggles with subtle quality and safety issues.,Requires external sources for consistent factual accuracy.,1520,Sensibleness,Percentage of sensible responses(%),"['PT (2B)', 'PT (8B)', 'PT (137B)', 'FT quality-safety (137B)', 'LaMDA (2B)', 'LaMDA (8B)', 'LaMDA (137B)']","[76.6, 79.1, 80.2, 92.8, 81.8, 88, 92.3]",%,51.png,
